,id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,bornYear
831,2,Hendrik Antoon,Lorentz,1853-07-18,02.04.28,the Netherlands,NL,Arnhem,the Netherlands,NL,,male,1902,physics,,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",Leiden University,Leiden,the Netherlands,1853
832,4,Antoine Henri,Becquerel,1852-12-15,8/25/1908,France,FR,Paris,France,FR,,male,1903,physics,,2,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",cole Polytechnique,Paris,France,1852
833,161,Hermann Emil,Fischer,1852-10-09,7/15/2019,Prussia (now Germany),DE,Euskirchen,Germany,DE,Berlin,male,1902,chemistry,,1,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",Berlin University,Berlin,Germany,1852
834,160,Jacobus Henricus,van 't Hoff,1852-08-30,03.01.11,the Netherlands,NL,Rotterdam,Germany,DE,Berlin,male,1901,chemistry,,1,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",Berlin University,Berlin,Germany,1852
835,1,Wilhelm Conrad,R_ntgen,1845-03-27,02.10.23,Prussia (now Germany),DE,Lennep (now Remscheid),Germany,DE,Munich,male,1901,physics,,1,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",Munich University,Munich,Germany,1845
836,162,Svante August,Arrhenius,1859-02-19,10.02.27,Sweden,SE,Vik,Sweden,SE,Stockholm,male,1903,chemistry,,1,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",Stockholm University,Stockholm,Sweden,1859
837,5,Pierre,Curie,1859-05-15,4/19/1906,France,FR,Paris,France,FR,Paris,male,1903,physics,,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",cole municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,1859
838,573,Fr_d_ric,Mistral,1830-09-08,3/25/2014,France,FR,Maillane,France,FR,Maillane,male,1904,literature,,2,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",,,,1830
839,10,Joseph John,Thomson,1856-12-18,8/30/1940,United Kingdom,GB,"Cheetham Hill, near Manchester",United Kingdom,GB,Cambridge,male,1906,physics,,1,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",University of Cambridge,Cambridge,United Kingdom,1856
840,165,Henri,Moissan,1852-09-28,2/20/2007,France,FR,Paris,France,FR,Paris,male,1906,chemistry,,1,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",Sorbonne University,Paris,France,1852
841,574,Jos_,Echegaray y Eizaguirre,1832-04-19,09.04.16,Spain,ES,Madrid,Spain,ES,Madrid,male,1904,literature,,2,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""",,,,1832
842,25,Charles Edouard,Guillaume,1861-02-15,6/13/1938,Switzerland,CH,Fleurier,France,FR,Svres,male,1920,physics,,1,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Svres,France,1861
843,23,Max Karl Ernst Ludwig,Planck,1858-04-23,10.04.47,Schleswig (now Germany),DE,Kiel,West Germany (now Germany),DE,G_ttingen,male,1918,physics,,1,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",Berlin University,Berlin,Germany,1858
844,13,Guglielmo,Marconi,1874-04-25,7/20/1937,Italy,IT,Bologna,Italy,IT,Rome,male,1909,physics,,2,"""in recognition of their contributions to the development of wireless telegraphy""",Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,1874
845,14,Karl Ferdinand,Braun,1850-06-06,4/19/1918,Hesse-Kassel (now Germany),DE,Fulda,USA,US,"Brooklyn, NY",male,1909,physics,,2,"""in recognition of their contributions to the development of wireless telegraphy""",Strasbourg University,Strasbourg,"Alsace (then Germany, now France)",1850
846,189,Carl,Bosch,1874-08-27,4/26/1940,Germany,DE,Cologne,Germany,DE,Heidelberg,male,1931,chemistry,,2,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",University of Heidelberg,Heidelberg,Germany,1874
847,189,Carl,Bosch,1874-08-27,4/26/1940,Germany,DE,Cologne,Germany,DE,Heidelberg,male,1931,chemistry,,2,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",I.G. Farbenindustrie A.G.,Heidelberg,Germany,1874
848,190,Friedrich,Bergius,1884-10-11,3/30/1949,Germany (now Poland),PL,"Goldschmieden, near Breslau",Argentina,AR,Buenos Aires,male,1931,chemistry,,2,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",University of Heidelberg,Heidelberg,Germany,1884
849,190,Friedrich,Bergius,1884-10-11,3/30/1949,Germany (now Poland),PL,"Goldschmieden, near Breslau",Argentina,AR,Buenos Aires,male,1931,chemistry,,2,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",I.G. Farbenindustrie A.G.,Mannheim-Rheinau,Germany,1884
850,193,Fr_d_ric,Joliot,19.03.00,8/14/1958,France,FR,Paris,France,FR,Paris,male,1935,chemistry,,2,"""in recognition of their synthesis of new radioactive elements""",Institut du Radium,Paris,France,1900
851,302,Paul,Ehrlich,1854-03-14,8/20/2015,Prussia (now Poland),PL,Strehlen (now Strzelin),Germany,DE,Bad Homburg vor der H_he,male,1908,medicine,,2,"""in recognition of their work on immunity""",K_nigliches Institut fôr experimentelle Therapie (Royal Institute for Experimental Therapy),Frankfurt-on-the-Main,Germany,1854
852,302,Paul,Ehrlich,1854-03-14,8/20/2015,Prussia (now Poland),PL,Strehlen (now Strzelin),Germany,DE,Bad Homburg vor der H_he,male,1908,medicine,,2,"""in recognition of their work on immunity""",Goettingen University,G_ttingen,Germany,1854
853,301,Ilya Ilyich,Mechnikov,1845-05-15,7/15/2016,Russian Empire (now Ukraine),UA,Kharkov (now Kharkiv),France,FR,Paris,male,1908,medicine,,2,"""in recognition of their work on immunity""",Institut Pasteur,Paris,France,1845
854,299,Santiago,Ramn y Cajal,1852-05-01,10/17/1934,Spain,ES,Petilla de Arag,Spain,ES,Madrid,male,1906,medicine,,2,"""in recognition of their work on the structure of the nervous system""",Madrid University,Madrid,Spain,1852
855,298,Camillo,Golgi,1843-07-07,1/21/2026,Italy,IT,Corteno,Italy,IT,Pavia,male,1906,medicine,,2,"""in recognition of their work on the structure of the nervous system""",Pavia University,Pavia,Italy,1843
856,588,Carl Friedrich Georg,Spitteler,1845-04-24,12/29/2024,Switzerland,CH,Liestal,Switzerland,,Lucerne,male,1919,literature,,1,"""in special appreciation of his epic, <I>Olympian Spring</I>""",,,,1845
857,569,Sully,Prudhomme,1839-03-16,09.07.07,France,FR,Paris,France,FR,Chtenay,male,1901,literature,,1,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",,,,1839
858,576,Giosu,Carducci,1835-07-27,2/16/2007,Tuscany (now Italy),IT,Val di Castello,Italy,IT,Bologna,male,1906,literature,,1,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""",,,,1835
859,582,Gerhart Johann Robert,Hauptmann,1862-11-15,06.06.46,Prussia (now Germany),DE,Bad Salzbrunn,Germany (now Poland),PL,Agnetendorf (now Jagniatkw),male,1912,literature,,1,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""",,,,1862
860,602,Thomas,Mann,1875-06-06,08.12.55,Germany,DE,Lôbeck,Switzerland,,Zurich,male,1929,literature,,1,"""principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature""",,,,1875
861,571,Christian Matthias Theodor,Mommsen,1817-11-30,11.01.03,Schleswig (now Germany),DE,Garding,Germany,DE,Charlottenburg,male,1902,literature,,1,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",,,,1817
862,604,Erik Axel,Karlfeldt,1864-07-20,04.08.31,Sweden,SE,Karlbo,Sweden,SE,Stockholm,male,1931,literature,,1,"""The poetry of Erik Axel Karlfeldt""",,,,1864
863,674,Dario,Fo,24.03.26,,Italy,IT,Leggiuno-Sangiano,,,,male,1997,literature,,1,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""",,,,1926
864,663,Wole,Soyinka,13.07.34,,Nigeria,NG,Abeokuta,,,,male,1986,literature,,1,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",,,,1934
865,662,Claude,Simon,10.10.13,07.06.05,Madagascar,MG,Tananarive (now Antananarivo),France,FR,Paris,male,1985,literature,,1,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",,,,1913
866,801,Harold,Pinter,10.10.30,12/24/2008,United Kingdom,GB,London,United Kingdom,GB,London,male,2005,literature,,1,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""",,,,1930
867,763,John M.,Coetzee,09.02.40,,South Africa,ZA,Cape Town,,,,male,2003,literature,,1,"""who in innumerable guises portrays the surprising involvement of the outsider""",,,,1940
868,808,Orhan,Pamuk,07.06.52,,Turkey,TR,Istanbul,,,,male,2006,literature,,1,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""",,,,1952
869,880,Mo,Yan,02.02.55,,China,CN,Gaomi,,,,male,2012,literature,,1,"""who with hallucinatory realism merges folk tales, history and the contemporary""",,,,1955
870,675,Jos_,Saramago,16.11.22,6/18/2010,Portugal,PT,Azinhaga,Spain,ES,Lanzarote,male,1998,literature,,1,"""who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality""",,,,1922
871,671,Kenzaburo,Oe,31.01.35,,Japan,JP,Uchiko,,,,male,1994,literature,,1,"""who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today""",,,,1935
872,657,Czeslaw,Milosz,30.06.11,8/14/2004,Russian Empire (now Lithuania),LT,&#346;eteniai,Poland,PL,Krakw,male,1980,literature,,1,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",,,,1911
873,665,Naguib,Mahfouz,11.12.11,8/30/2006,Egypt,EG,Cairo,Egypt,EG,Cairo,male,1988,literature,,1,"""who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",,,,1911
874,676,Gônter,Grass,16.10.27,4/13/2015,Free City of Danzig (now Poland),PL,Danzig (now Gdansk),Germany,DE,Lôbeck,male,1999,literature,,1,"""whose frolicsome black fables portray the forgotten face of history""",,,,1927
875,999,Alan,Perlis,01.04.22,02.07.90,USA,US,"Pittsburgh, PA",USA,US,"New Haven, CT",male,1966,turing,,1,"""for his influence in the era of advanced computer programming techniques and compiler construction""",Carnegie Mellon University,"Pittsburgh, PA",USA,1922
876,998,Maurice,Wilkes,26.06.13,11/29/2010,United Kingdom,GB,Dudley,United Kingdom,GB,Cambridge,male,1967,turing,,1,"""Wilkes is best known as the builder and designer of the EDSAC, the first computer with an internally stored program. Built in 1949, the EDSAC used a mercury delay line memory. He is also known as the author, with Wheeler and Gill, of a volume on ""Preparation of Programs for Electronic Digital Computers"" in 1951, in which program libraries were effectively introduced.""",University of Cambridge,Cambridge,United Kingdom,1913
877,997,Richard,Hamming,11.02.15,01.07.98,USA,US,"Chicago, IL",USA,US,"Monterey, CA",male,1968,turing,,1,"""For his work on numerical methods, automatic coding systems, and error-detecting and error-correcting codes.""",Bell Laboratories,"Murray Hill, NJ",USA,1915
878,996,Marvin,Minsky,09.08.27,01/24/2016,USA,US,"New York, NY",USA,US,"Boston, MA",male,1969,turing,,1,"""For his central role in creating, shaping, promoting, and advancing the field of artificial intelligence.""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,1927
879,995,James H.,Wilkinson,27.09.19,10.05.86,United Kingdom,GB,Strood,United Kingdom,GB,Teddington,male,1970,turing,,1,"""For his research in numerical analysis to facilitate the use of the high-speed digital computer, having received special recognition for his work in computations in linear algebra and ""backward"" error analysis.""",National Physical Laboratory,Teddington,United Kingdom,1919
880,994,John,McCarthy,04.09.27,10/24/2011,USA,US,"Boston, MA",USA,US,"Stanford, CA",male,1971,turing,,1,"""McCarthy's lecture ""The Present State of Research on Artificial Intelligence"" is a topic that covers the area in which he has achieved considerable recognition for his work""",Stanford University,"Stanford, CA",USA,1927
881,993,Edsger W.,Dijkstra,11.05.30,08.06.02,Netherlands,NL,Rotterdam,Netherlands,NL,Nuenen,male,1972,turing,,1,"""Edsger Dijkstra was a principal contributor in the late 1950s to the development of the ALGOL, a high level programming language which has become a model of clarity and mathematical rigor. ""","Centrum Wiskunde and Informatica, Eindhoven University of Technology",Eindhoven,Netherlands,1930
